DBSource,Species,Present,State,Year,Observer_Institution,Latitude,Longitude,Location_Notes
GBIF,Etheostoma pallididorsum,1,Arkansas,2020,iNaturalist,34.401093,-93.986589,
Publ,Etheostoma pallididorsum,1,Arkansas,2020,Hartman 2022,34.498063,-93.972353,
Publ,Etheostoma pallididorsum,1,Arkansas,2016,McCall and Fluker 2022,34.4863,-93.96864,Butcherknife Creek
Publ,Etheostoma pallididorsum,1,Arkansas,2016,McCall and Fluker 2022,34.4939,-93.91429,Kate's Creek
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.523842,-93.909292,
GBIF,Etheostoma pallididorsum,1,Arkansas,1989,MMNS,34.4649,-93.8736,"Hwy 8,  1.4 miles E of jct Hwy 8 and FSR 43"
GBIF,Etheostoma pallididorsum,1,Arkansas,1984,UF,34.461623,-93.860247,Caddo River on St Rte 8  1st crossing E of Big Fork and 3rd crossing W of Black Springs.
GBIF,Etheostoma pallididorsum,1,Arkansas,1961,KU,34.461784,-93.860205,Caddo River on AR 8  8.5 miles West of Black Springs
GBIF,Etheostoma pallididorsum,1,Arkansas,1961,CUMV,34.461678,-93.860204,"Caddo R. on AR 8,  8.5 mi. W of Black Springs"
GBIF,Etheostoma pallididorsum,1,Arkansas,1971,UF,34.461688,-93.860158,Caddo River  9.5 mi W of Black Springs & 7.3 mi E of Big Fork.
Publ,Etheostoma pallididorsum,1,Arkansas,2016,McCall and Fluker 2022,34.451,-93.843,Upper Caddo River
Publ,Etheostoma pallididorsum,1,Arkansas,2020,Hartman 2022,34.4510039,-93.842946,
GBIF,Etheostoma pallididorsum,1,Arkansas,1970,UF,34.448554,-93.834758,Caddo River  7 mi W of Black Springs.
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.394302,-93.819168,
Publ,Etheostoma pallididorsum,1,Arkansas,2020,Hartman 2022,34.47427,-93.80766,
Publ,Etheostoma pallididorsum,1,Arkansas,2020,Hartman 2022,34.476543,-93.804495,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.374852,-93.803912,
GBIF,Etheostoma pallididorsum,1,Arkansas,1991,TCWC,34.75077,-93.8,3.5 miles North Ouachita National Forest Boundary  Little Missouri River
GBIF,Etheostoma pallididorsum,1,Arkansas,1987,UA,34.45,-93.791111,Collier Creek at Caddo River at 3rd bridge W of Black Springs on AR Hwy 8 (Bridge #2244)
Publ,Etheostoma pallididorsum,1,Arkansas,2020,Hartman 2022,34.44972,-93.790665,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.366087,-93.764722,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.537777,-93.762142,
Publ,Etheostoma pallididorsum,1,Arkansas,2020,Hartman 2022,34.44982,-93.743753,
GBIF,Etheostoma pallididorsum,1,Arkansas,2015,iNaturalist,34.530985,-93.74212,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.373985,-93.7411637,
Publ,Etheostoma pallididorsum,1,Arkansas,2016,McCall and Fluker 2022,34.47675,-93.73674,Lick Creek
Publ,Etheostoma pallididorsum,1,Arkansas,2020,Hartman 2022,34.476755,-93.736692,
Publ,Etheostoma pallididorsum,1,Arkansas,2020,Hartman 2022,34.491885,-93.727355,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.575713,-93.72391,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.532907,-93.722795,
Publ,Etheostoma pallididorsum,1,Arkansas,2020,Hartman 2022,34.469672,-93.717943,
FishNet2,Etheostoma pallididorsum,1,Arkansas,1978,INHS,34.59822,-93.715822,"Caddo River, 9 mi N Black Springs"
GBIF,Etheostoma pallididorsum,1,Arkansas,1987,KU,34.461111,-93.7125,Caddo River - third bridge (#2244) west of Black Springs on Highway 8
GBIF,Etheostoma pallididorsum,1,Arkansas,2020,iNaturalist,34.480555,-93.702247,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.55841,-93.698747,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.564463,-93.690375,
Publ,Etheostoma pallididorsum,1,Arkansas,2020,Hartman 2022,34.476145,-93.680928,
Publ,Etheostoma pallididorsum,1,Arkansas,2016,McCall and Fluker 2022,34.35514,-93.6797,South Fork Caddo River
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.53897,-93.677032,
GBIF,Etheostoma pallididorsum,1,Arkansas,2022,iNaturalist,34.446754,-93.67645,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.559523,-93.671852,
GBIF,Etheostoma pallididorsum,1,Arkansas,2020,iNaturalist,34.595547,-93.66896,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.343393,-93.657733,
GBIF,Etheostoma pallididorsum,1,Arkansas,2023,iNaturalist,34.548182,-93.655457,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.530765,-93.654582,
FishNet2,Etheostoma pallididorsum,1,Arkansas,1971,TNHC,34.4075,-93.6489,"Mill Creek, 2.5 mi. W Caddi Gap"
GBIF,Etheostoma pallididorsum,1,Arkansas,1971,TNHC,34.407529,-93.648862,"Mill Creek,  2.5 mi. W Caddo Gap"
GBIF,Etheostoma pallididorsum,1,Arkansas,1961,KU,34.414153,-93.64852,Tributary of Mill Creek  2.5 miles SW of Caddo Gap
GBIF,Etheostoma pallididorsum,1,Arkansas,2020,iNaturalist,34.563511,-93.646191,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.57078,-93.642962,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.55781,-93.641913,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.479402,-93.640802,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.524332,-93.639135,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.591998,-93.637147,
GBIF,Etheostoma pallididorsum,1,Arkansas,1969,UA,34.413333,-93.6325,Collier Creek  1 mi W of Caddo Gap
GBIF,Etheostoma pallididorsum,1,Arkansas,1977,UA,34.415,-93.630833,"Roadside ditch,  0.25 mi. N of Collier Creek on Hwy. 8  ca 2 mi. N of Caddo Gap"
GBIF,Etheostoma pallididorsum,1,Arkansas,1961,KU,34.396217,-93.629654,Tributary of Caddo River  1.2 miles West of Caddo Gap
GBIF,Etheostoma pallididorsum,1,Arkansas,1964,KU,34.3962,-93.6296,Small tributary of Caddo river  1 mile West of Caddo Gap
GBIF,Etheostoma pallididorsum,1,Arkansas,1984,KU,34.406761,-93.625526,Smith Creek  5.5 miles South of Norman on Highway 8
GBIF,Etheostoma pallididorsum,1,Arkansas,,KU,34.4076,-93.6241,Tributary of Caddo River  1 mile NW of Caddo Gap
GBIF,Etheostoma pallididorsum,1,Arkansas,1961,UA,34.390833,-93.623611,Caddo River 1.2 mi W Caddo Gap
GBIF,Etheostoma pallididorsum,1,Arkansas,1970,KU,34.399544,-93.620644,Ditch along railway tracks at Caddo Gap
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.581023,-93.617987,
GBIF,Etheostoma pallididorsum,1,Arkansas,2022,iNaturalist,34.4751,-93.615605,
FishNet2,Etheostoma pallididorsum,1,Arkansas,,UT,34.39135,-93.60979,Trib. to Gap Cr. at AR 8
FishNet2,Etheostoma pallididorsum,1,Arkansas,1965,TU,34.39,-93.60944,"Gap (Jones) Creek, 1 mi. SE of Caddo Gap."
FishNet2,Etheostoma pallididorsum,1,Arkansas,1994,INHS,34.390335,-93.609316,"trib. Gap Creek, St. Hwy. 8"
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.481962,-93.608815,
Publ,Etheostoma pallididorsum,1,Arkansas,2020,Hartman 2022,34.383465,-93.608077,
FishNet2,Etheostoma pallididorsum,1,Arkansas,1986,TU,34.361523,-93.60598,"South Caddo River at Old Grove Baptist church (LowerSite), R24W T4S Township 30"
GBIF,Etheostoma pallididorsum,1,Arkansas,1972,KU,34.4154,-93.605,Smith Creek  2.4 miles North of Caddo Gap
GBIF,Etheostoma pallididorsum,1,Arkansas,1979,MMNS,34.413406,-93.604818,"Smith Creek, T4S, R24W, Sec 07"
GBIF,Etheostoma pallididorsum,1,Arkansas,2019,iNaturalist,34.417296,-93.604316,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.565627,-93.602873,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.565703,-93.598865,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.540837,-93.594492,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.483685,-93.592233,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.393093,-93.591365,
Publ,Etheostoma pallididorsum,1,Arkansas,2020,Hartman 2022,34.322698,-93.56478,
GBIF,Etheostoma pallididorsum,1,Arkansas,2018,iNaturalist,34.284963,-93.54972,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.5774045,-93.539784,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.500157,-93.538858,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.319685,-93.519047,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.521198,-93.517563,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.384955,-93.49664,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.399425,-93.492445,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.409903,-93.443807,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.346898,-93.410993,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.5229447,-93.3961131,
Publ,Etheostoma pallididorsum,1,Arkansas,2020,Hartman 2022,34.4988583,-93.3324284,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.5284847,-93.3141525,
Publ,Etheostoma pallididorsum,0,Arkansas,2020,Hartman 2022,34.541492,-93.276071,
GBIF,Etheostoma pallididorsum,1,Arkansas,1986,OSU,34.7504,-92.5004,Collier Creek @ Highway 8; 4.8 miles SE of Norman; Sec. 12 (T4S R25W)
GBIF,Etheostoma pallididorsum,1,Arkansas,2022,iNaturalist,35.261393,-91.9859,
FishNet2,Etheostoma pallididorsum,1,Arkansas,,UT,34.41564,-93.63111,"roadside ditch draining into Collier Cr., 0.25 mi N of Creek xing of AR Hwy 8, ca. 2 airmi. N of Caddo Gap"
FishNet2,Etheostoma pallididorsum,1,Arkansas,,UT,34.45673,-93.84611,Cox spring run 5.6 rd. mi. SE of Polk Co. line on AR Hwy 8
